term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p akt,luteolin,HY-L025-72,G06,HY-N0162,Luteolin,Luteoline; Luteolol; Digitoflavone,491-70-3,286.24,Apoptosis; Autophagy; Endogenous Metabolite; Keap1-Nrf2,Apoptosis; Autophagy; Metabolic Enzyme/Protease; NF-κB,"Luteolin (Luteoline), a flavanoid compound, is a potent Nrf2 inhibitor. Luteolin has anti-inflammatory, anti-cancer properties, including the induction of apoptosis and cell cycle arrest, and the inhibition of metastasis and angiogenesis, in several cancer cell lines, including human non-small lung cancer cells[1][2][3].",C15H10O6,DMSO : ≥ 100 mg/mL (349.36 mM),10mM,Cancer; Inflammation/Immunology,Phase 2,O=C1C=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C13
,,,,,,,,,,,,,,,,p akt,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
,,,,,,,,,,,,,,,,p akt,dasatinib,HY-L025-6,D08,HY-10181B,Dasatinib (monohydrate),BMS-354825 (monohydrate),863127-77-9,506.02,Apoptosis; Autophagy; Bcr-Abl; Src,Apoptosis; Autophagy; Protein Tyrosine Kinase/RTK,"Dasatinib (BMS-354825) monohydrate is a highly potent, ATP competitive, orally active dual Src/Bcr-Abl inhibitor with potent antitumor activity. The Kis are 16 pM and 30 pM for Src and Bcr-Abl, respectively.  Dasatinib monohydrate inhibits Bcr-Abl and Src with IC50s of <1.0 nM and 0.5 nM, respectively[1]. Dasatinib monohydrate also induces apoptosis and autophagy.",C22H28ClN7O3S,10 mM in DMSO,10mM,Cancer,Launched,O=C(C1=CN=C(NC2=NC(C)=NC(N3CCN(CCO)CC3)=C2)S1)NC4=C(C)C=CC=C4Cl.[H]O[H]
,,,,,,,,,,,,,,,,p akt,paclitaxel,HY-L025-66,A07,HY-B0015,Paclitaxel,,33069-62-4,853.91,ADC Cytotoxin; Apoptosis; Autophagy; Microtubule/Tubulin,Antibody-drug Conjugate/ADC Related; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Cytoskeleton,Paclitaxel is a naturally occurring antineoplastic agent and stabilizes tubulin polymerization. Paclitaxel can cause both mitotic arrest and apoptotic cell death. Paclitaxel also induces autophagy[1][2].,C47H51NO14,H2O : < 0.1 mg/mL (insoluble); DMSO : 100 mg/mL (117.11 mM; Need ultrasonic),10mM,Cancer,Launched,O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)[C@H](C(O[C@@H]3C(C)=C([C@@H](OC(C)=O)C([C@@]4(C)[C@]([C@@](CO5)(OC(C)=O)[C@@]5([H])C[C@@H]4O)([H])[C@@H]6OC(C7=CC=CC=C7)=O)=O)C(C)(C)[C@@]6(O)C3)=O)O
,,,,,,,,,,,,,,,,p akt,gemcitabine,HY-L025-65,H10,HY-B0003,Gemcitabine (hydrochloride),LY 188011 (hydrochloride),122111-03-9,299.66,Apoptosis; Autophagy; DNA/RNA Synthesis; Nucleoside Antimetabolite/Analog,Apoptosis; Autophagy; Cell Cycle/DNA Damage,"Gemcitabine Hydrochloride (LY 188011 Hydrochloride) is a pyrimidine nucleoside analog antimetabolite and an antineoplastic agent. Gemcitabine Hydrochloride inhibits DNA synthesis and repair, resulting in autophagyand apoptosis[1][2].",C9H12ClF2N3O4,H2O : 33.33 mg/mL (111.23 mM; Need ultrasonic); DMSO : 25 mg/mL (83.43 mM; ultrasonic and warming and heat to 60°C); DMF : 2.5 mg/mL (8.34 mM; Need ultrasonic),10mM,Cancer,Launched,O[C@H]1C(F)(F)[C@H](N2C(N=C(N)C=C2)=O)O[C@@H]1CO.Cl
,,,,,,,,,,,,,,,,p akt,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,p akt,egcg,HY-L025-38,C03,HY-13653,(-)-Epigallocatechin Gallate,EGCG; Epigallocatechol Gallate,989-51-5,458.37,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease,"(-)-Epigallocatechin Gallate (EGCG) is a major polyphenol in green tea, which can inhibit cell proliferation and induce cell apoptosis. (-)-Epigallocatechin Gallate inhibits glutamate dehydrogenase 1/2 (GDH1/2, GLUD1/2) activity. (-)-Epigallocatechin Gallate has a potent anticancer, antioxidant and anti-inflammatory properties against various types of cancers such as colorectal cancer, myeloid leukemia, thyroid carcinoma[1][2][3][4].",C22H18O11,DMSO : ≥ 30 mg/mL (65.45 mM); H2O : 20 mg/mL (43.63 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1)C4=CC(O)=C(O)C(O)=C4
,,,,,,,,,,,,,,,,p akt,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,p akt,wortmannin,HY-L025-6,H04,HY-10197,Wortmannin,SL-2052; KY-12420,19545-26-7,428.43,Antibiotic; Autophagy; PI3K; Polo-like Kinase (PLK),Anti-infection; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR,"Wortmannin (SL-2052; KY-12420) is a potent, selective and irreversible PI3K inhibitor with an IC50 of 3 nM. Wortmannin also blocks autophagy formation, and potently inhibits Polo-like kinase 1 (PlK1) and Plk3 with IC50s of 5.8 and 48 nM, respectively[1][2][3].",C23H24O8,DMSO : ≥ 50 mg/mL (116.71 mM),10mM,Cancer,No Development Reported,O=C1C([C@@](CC2)([H])[C@@]3(C)C2=O)=C([C@H](OC(C)=O)C3)[C@]4(C)C5=C1OC=C5C(O[C@@H]4COC)=O
,,,,,,,,,,,,,,,,p akt,sorafenib,HY-L025-7,A11,HY-10201A,Sorafenib (Tosylate),Bay 43-9006 (Tosylate),475207-59-1,637.03,Apoptosis; Autophagy; Ferroptosis; FLT3; Raf; VEGFR,Apoptosis; Autophagy; MAPK/ERK Pathway; Protein Tyrosine Kinase/RTK,"Sorafenib Tosylate (Bay 43-9006 Tosylate) is a potent and orally active Raf inhibitor with IC50s of 6 nM and 20 nM for Raf-1 and B-Raf, respectively. SorafenibTosylate is a multikinase inhibitor with IC50s of 90 nM, 15 nM, 20 nM, 57 nM and 58 nM for VEGFR2, VEGFR3, PDGFRβ, FLT3 and c-Kit, respectively. Sorafenib Tosylate induces autophagy and apoptosis. Sorafenib Tosylate has anti-tumor activity. Sorafenib Tosylate is a ferroptosis activator[1].",C28H24ClF3N4O6S,H2O : < 0.1 mg/mL (insoluble); DMSO : ≥ 31 mg/mL (48.66 mM),10mM,Cancer,Launched,O=S(C1=CC=C(C=C1)C)(O)=O.O=C(NC2=CC=C(C(C(F)(F)F)=C2)Cl)NC3=CC=C(OC4=CC(C(NC)=O)=NC=C4)C=C3
,,,,,,,,,,,,,,,,p akt,gefitinib,HY-L025-64,B07,HY-50895A,Gefitinib (hydrochloride),ZD-1839 hydrochloride,184475-55-6,483.36,EGFR,JAK/STAT Signaling; Protein Tyrosine Kinase/RTK,"Gefitinib hydrochloride (ZD1839 hydrochloride) is a potent, selective and orally active EGFR tyrosine kinase inhibitor with an IC50 of 33 nM. Gefitinib hydrochloride selectively inhibits EGF-stimulated tumor cell growth (IC50 of 54 nM) and that blocks EGF-stimulated EGFR autophosphorylation in tumor cells. Gefitinib hydrochloride also induces autophagy. Gefitinib hydrochloride has antitumour activity[1][2].",C22H25Cl2FN4O3,DMSO : 0.227 mg/mL (0.47 mM; Need ultrasonic and warming); H2O : 6.25 mg/mL (12.93 mM; Need ultrasonic),10mM,Cancer,Launched,ClC1=C(C=CC(NC2=NC=NC3=C2C=C(C(OC)=C3)OCCCN4CCOCC4)=C1)F.[H]Cl
,,,,,,,,,,,,,,,,p akt,matrine,HY-L025-72,G08,HY-N0164,Matrine,Matridin-15-one; Vegard; α-Matrine,519-02-8,248.36,Apoptosis; Autophagy; Ferroptosis; Mitophagy; Opioid Receptor,Apoptosis; Autophagy; GPCR/G Protein; Neuronal Signaling,"Matrine (Matridin-15-one) is an alkaloid found in plants from the Sophora genus that can act as a kappa opioid receptor and u-receptor agonist. Matrine has a variety of pharmacological effects, including anti-cancer, anti-oxidative stress, anti-inflammation and anti-apoptosis effects. Matrine is potential in the research of disease like human non-small cell lung cancer, hepatoma, papillary thyroid cancer and acute kidney injury (AKI)[1][2][3][4][5].",C15H24N2O,H2O : 20 mg/mL (80.53 mM; Need ultrasonic); DMSO : ≥ 50 mg/mL (201.32 mM),10mM,Cancer; Inflammation/Immunology,Launched,O=C1CCC[C@]2([H])[C@@]3([H])CCCN4[C@@]3([H])[C@](CCC4)([H])CN21
,,,,,,,,,,,,,,,,p27,ly294002,HY-L025-4,F05,HY-10108,LY294002,,154447-36-6,307.34,Apoptosis; Autophagy; Casein Kinase; DNA-PK; PI3K,Apoptosis; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"LY294002 is a broad-spectrum inhibitor of PI3K with IC50s of 0.5, 0.57, and 0.97 μM for PI3Kα, PI3Kδ and PI3Kβ, respectively[1]. LY294002 also inhibits CK2 with an IC50 of 98 nM[2]. LY294002 is a competitive DNA-PK inhibitor that binds reversibly to the kinase domain of DNA-PK with an IC50 of 1.4?μM. LY294002 is an apoptosis activator[3].",C19H17NO3,DMSO : 50 mg/mL (162.69 mM; Need ultrasonic); Ethanol : 50 mg/mL (162.69 mM; Need ultrasonic),10mM,Cancer; Infection,No Development Reported,O=C1C=C(OC2=C1C=CC=C2C3=CC=CC=C3)N4CCOCC4
,,,,,,,,,,,,,,,,p27,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
,,,,,,,,,,,,,,,,p27,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,p27,silibinin,HY-L025-76,C08,HY-N0779A,Silybin,Silibinin,802918-57-6,482.44,Apoptosis,Apoptosis,"Silybin is a flavonolignan isolated from milk thistle (Silybum marianum) seeds. Silybin induces apoptosis and exhibits hepatoprotective, antioxidant, anti-inflammatory, anti-cancer activity[1][2].",C25H22O10,DMSO : 25 mg/mL (51.82 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C1[C@H](O)[C@@H](C2=CC=C(OC(CO)C(C3=CC=C(O)C(OC)=C3)O4)C4=C2)OC5=CC(O)=CC(O)=C15
,,,,,,,,,,,,,,,,p27,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,p27,berberine,HY-L025-59,B09,HY-18258,Berberine (chloride),Natural Yellow 18 (chloride),633-65-8,371.81,Antibiotic; Autophagy; Bacterial; Endogenous Metabolite; Parasite; Reactive Oxygen Species; Topoisomerase,Anti-infection; Autophagy; Cell Cycle/DNA Damage; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB,Berberine chloride is an alkaloid that acts as an antibiotic. Berberine chloride induces reactive oxygen species (ROS) generation and inhibits DNA topoisomerase. Antineoplastic properties[1].,C20H18ClNO4,DMSO : 12.5 mg/mL (33.62 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic) (insoluble),10mM,Cancer,Launched,COC1=C(OC)C2=C[N+]3=C(C(C(CC3)=C4)=CC5=C4OCO5)C=C2C=C1.[Cl-]
,,,,,,,,,,,,,,,,p27,rapamycin,HY-L025-7,D11,HY-10219,Rapamycin,Sirolimus; AY-22989,53123-88-9,914.17,Antibiotic; Autophagy; Bacterial; Endogenous Metabolite; FKBP; Fungal; mTOR,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; PI3K/Akt/mTOR,"Rapamycin (Sirolimus; AY 22989) is a potent and specific mTOR inhibitor with an IC50 of 0.1 nM in HEK293 cells. Rapamycin binds to FKBP12 and specifically acts as an allosteric inhibitor of mTORC1[1]. Rapamycin is an autophagy activator, an immunosuppressant[2].",C51H79NO13,DMSO : 125 mg/mL (136.74 mM; Need ultrasonic); Ethanol : 50 mg/mL (54.69 mM; Need ultrasonic),10mM,Cancer,Launched,O=C([C@@]1(O)[C@@H](CC[C@@H](C[C@@H](/C(C)=C/C=C/C=C/[C@H](C[C@@H](C)C([C@@H]([C@@H](/C(C)=C/[C@H]2C)O)OC)=O)C)OC)O1)C)C(N3CCCC[C@H]3C(O[C@@H](CC2=O)[C@@H](C[C@H]4C[C@H]([C@H](O)CC4)OC)C)=O)=O
,,,,,,,,,,,,,,,,ets,yk 4 279,HY-L025-44,F08,HY-14507,YK-4-279,,1037184-44-3,366.2,Apoptosis; DNA/RNA Synthesis,Apoptosis; Cell Cycle/DNA Damage,YK-4-279 blocks RNA Helicase A (RHA) binding with EWS-FLI1 (oncogenic protein). YK-4-279 induces apoptosis and shows anti-proliferation activities towards various cancer cells. YK-4-279 has a chiral center and it can be separated into two enantiomers. YK-4-279 can be used for the research of cancer[1][2].,C17H13Cl2NO4,DMSO : 25 mg/mL (68.27 mM; Need ultrasonic),10mM,Cancer,No Development Reported,ClC1=C2C(C(O)(CC(C3=CC=C(OC)C=C3)=O)C(N2)=O)=C(Cl)C=C1
,,,,,,,,,,,,,,,,cdk4,ly294002,HY-L025-4,F05,HY-10108,LY294002,,154447-36-6,307.34,Apoptosis; Autophagy; Casein Kinase; DNA-PK; PI3K,Apoptosis; Autophagy; Cell Cycle/DNA Damage; PI3K/Akt/mTOR; Stem Cell/Wnt,"LY294002 is a broad-spectrum inhibitor of PI3K with IC50s of 0.5, 0.57, and 0.97 μM for PI3Kα, PI3Kδ and PI3Kβ, respectively[1]. LY294002 also inhibits CK2 with an IC50 of 98 nM[2]. LY294002 is a competitive DNA-PK inhibitor that binds reversibly to the kinase domain of DNA-PK with an IC50 of 1.4?μM. LY294002 is an apoptosis activator[3].",C19H17NO3,DMSO : 50 mg/mL (162.69 mM; Need ultrasonic); Ethanol : 50 mg/mL (162.69 mM; Need ultrasonic),10mM,Cancer; Infection,No Development Reported,O=C1C=C(OC2=C1C=CC=C2C3=CC=CC=C3)N4CCOCC4
,,,,,,,,,,,,,,,,cdk4,quercetin,HY-L025-72,F04,HY-N0146,Quercetin (dihydrate),,6151-25-3,338.27,Apoptosis; PI3K,Apoptosis; PI3K/Akt/mTOR,"Quercetin dihydrate, a natural flavonoid, is a stimulator of recombinant SIRT1 and a PI3K inhibitor with IC50s of 2.4 μM, 3.0 μM and 5.4 μM for PI3K γ, PI3K δ and PI3K β, respectively[1].",C15H14O9,DMSO : 100 mg/mL (295.63 mM; Need ultrasonic); H2O : 1 mg/mL (2.96 mM; ultrasonic and warming and heat to 80°C),10mM,Inflammation/Immunology; Cancer,Phase 4,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C13.[H]O[H].[H]O[H]
,,,,,,,,,,,,,,,,cdk4,kaempferol,HY-L025-45,F09,HY-14590,Kaempferol,Kempferol; Robigenin,520-18-3,286.24,Apoptosis; Autophagy; Endogenous Metabolite; Estrogen Receptor/ERR; HIV; Mitophagy; Parasite,Anti-infection; Apoptosis; Autophagy; Metabolic Enzyme/Protease; Vitamin D Related/Nuclear Receptor,"Kaempferol (Kempferol), a flavonoid found in many edible plants, inhibits estrogen receptor α expression in breast cancer cells and induces apoptosis in glioblastoma cells and lung cancer cells by activation of MEK-MAPK. Kaempferol can be uesd for the research of breast cancer[1][2][3][4].",C15H10O6,DMSO : ≥ 32 mg/mL (111.79 mM); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble),10mM,Cancer,No Development Reported,OC1=C2C(OC(C3=CC=C(O)C=C3)=C(O)C2=O)=CC(O)=C1
,,,,,,,,,,,,,,,,cdk4,honokiol,HY-L025-71,F02,HY-N0003,Honokiol,NSC 293100,35354-74-6,266.33,Akt; Autophagy; ERK; HCV,Anti-infection; Autophagy; MAPK/ERK Pathway; PI3K/Akt/mTOR; Stem Cell/Wnt,"Honokiol is a bioactive, biphenolic phytochemical that possesses potent antioxidative, anti-inflammatory, antiangiogenic, and anticancer activities by targeting a variety of signaling molecules. It inhibits the activation of Akt. Honokiol can readily cross the blood brain barrier[1][2][3][4].",C18H18O2,DMSO : ≥ 50 mg/mL (187.74 mM),10mM,Cancer,Phase 3,OC1=C(CC=C)C=C(C2=CC(CC=C)=CC=C2O)C=C1
,,,,,,,,,,,,,,,,cdk4,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
,,,,,,,,,,,,,,,,cdk4,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,cdk4,curcumin,HY-L025-71,F04,HY-N0005,Curcumin,Diferuloylmethane; Natural Yellow 3; Turmeric yellow,458-37-7,368.38,Autophagy; Epigenetic Reader Domain; Ferroptosis; Histone Acetyltransferase; Influenza Virus; Keap1-Nrf2; Mitophagy,Anti-infection; Apoptosis; Autophagy; Epigenetics; NF-κB,"Curcumin (Diferuloylmethane), a natural phenolic compound, is a p300/CREB-binding protein-specific inhibitor of acetyltransferase, represses the acetylation of histone/nonhistone proteins and histone acetyltransferase-dependent chromatin transcription. Curcumin shows inhibitory effects on NF-κB and MAPKs, and has diverse pharmacologic effects including anti-inflammatory, antioxidant, antiproliferative and antiangiogenic activities. Curcumin induces stabilization of Nrf2 protein through Keap1 cysteine modification.",C21H20O6,DMSO : 100 mg/mL (271.46 mM; Need ultrasonic),10mM,Cancer,Phase 4,O=C(CC(/C=C/C1=CC=C(O)C(OC)=C1)=O)/C=C/C2=CC=C(O)C(OC)=C2
,,,,,,,,,,,,,,,,cdk4,magnolol,HY-L025-72,G07,HY-N0163,Magnolol,,528-43-8,266.33,Autophagy; Bacterial; PPAR; RAR/RXR,Anti-infection; Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease; Vitamin D Related/Nuclear Receptor,"Magnolol, a natural lignan isolated from the stem bark of Magnolia officinalis, is a dual agonist of both RXRα and PPARγ, with EC50 values of 10.4 μM and 17.7 μM, respectively.",C18H18O2,DMSO : 100 mg/mL (375.47 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology; Neurological Disease; Cardiovascular Disease,Launched,OC1=CC=C(CC=C)C=C1C2=CC(CC=C)=CC=C2O
,,,,,,,,,,,,,,,,cdk4,rapamycin,HY-L025-7,D11,HY-10219,Rapamycin,Sirolimus; AY-22989,53123-88-9,914.17,Antibiotic; Autophagy; Bacterial; Endogenous Metabolite; FKBP; Fungal; mTOR,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; PI3K/Akt/mTOR,"Rapamycin (Sirolimus; AY 22989) is a potent and specific mTOR inhibitor with an IC50 of 0.1 nM in HEK293 cells. Rapamycin binds to FKBP12 and specifically acts as an allosteric inhibitor of mTORC1[1]. Rapamycin is an autophagy activator, an immunosuppressant[2].",C51H79NO13,DMSO : 125 mg/mL (136.74 mM; Need ultrasonic); Ethanol : 50 mg/mL (54.69 mM; Need ultrasonic),10mM,Cancer,Launched,O=C([C@@]1(O)[C@@H](CC[C@@H](C[C@@H](/C(C)=C/C=C/C=C/[C@H](C[C@@H](C)C([C@@H]([C@@H](/C(C)=C/[C@H]2C)O)OC)=O)C)OC)O1)C)C(N3CCCC[C@H]3C(O[C@@H](CC2=O)[C@@H](C[C@H]4C[C@H]([C@H](O)CC4)OC)C)=O)=O
,,,,,,,,,,,,,,,,cdk4,lee011,HY-L025-54,B09,HY-15777B,Ribociclib succinate,LEE011 (succinate),1374639-75-4,552.63,CDK,Cell Cycle/DNA Damage,"Ribociclib succinate (LEE011 succinate) is a highly specific CDK4/6 inhibitor with IC50 values of 10 nM and 39 nM, respectively, and is over 1,000-fold less potent against the cyclin B/CDK1 complex.",C27H36N8O5,DMSO : 9.38 mg/mL (16.97 mM; ultrasonic and warming and heat to 60°C); H2O : 4.17 mg/mL (7.55 mM; ultrasonic and warming and heat to 60°C),10mM,Cancer,Launched,O=C(N(C)C)C(N1C2CCCC2)=CC(C1=N3)=CN=C3NC(N=C4)=CC=C4N5CCNCC5.OC(CCC(O)=O)=O
