PMID	abstract	a_term	b_term	c_term	label
27987518	Episcleritis and scleritis are rare ocular diseases usually associated with rheumatic diseases such as systemic lupus erythematosus (SLE). To study the clinical and laboratory features of SLE-related episcleritis and scleritis, we report 4 patients diagnosed with episcleritis or scleritis from SLE from September 2005 to July 2016 at the Department of Rheumatology and Immunology, Peking University People's Hospital. Demographic, clinical, and laboratory characteristics were summarized along with treatment regimen and prognosis; reviewed the literature. There were 3 female and 1 male patient. The mean age was (49.0 ± 23.8) years, and the mean duration of SLE at the onset of episcleritis or scleritis was (2.1 ± 1.4) years. In addition to ocular involvement, patients had concurrent mucosal diseases, serositis, lupus nephritis, and interstitial pneumonia; 1 patient had a history of arthritis, 2 had Raynaud's phenomenon, and 2 had hematological involvement. All patients had high levels of antinuclear antibodies (ANA). Double-stranded DNA (ds-DNA) antibody titers were elevated in two patients. Three patients had anti-nucleosome antibodies (ANuA), and the remaining 1 patient did not test positive. In 3 patients, complement levels decreased. Systemic Lupus Erythematosus Disease Activity Index (SLEDAI) scores were greater than 4 in all patients (range 7–16), indicating active disease. Symptoms of hives include pain, eye redness, and tearing. Ophthalmic examinations revealed 3 cases of episcleritis and 1 case of scleritis. Among the 4 patients, 2 patients experienced ocular complications such as cataracts and uveitis. All patients were treated with systemic corticosteroids combined with hydroxychloroquine; 3 patients were treated with immunosuppressants (cyclophosphamide in 2 patients and leflunomide in 1 patient). All 4 patients received a topical steroid, 1 patient received a periocular injection of triamcinolone acetonide; 1 patient received a nonsteroidal anti-inflammatory drug (NSAID). There was no recurrence of episcleritis or scleritis during follow-up. Finally, scleritis and episcleritis may, although rarely, occur in patients with autoimmune rheumatic diseases such as SLE. The presence of episcleritis and scleritis may indicate active SLE disease. Patients should be aware of cystic fibrosis. Prompt diagnosis and treatment were associated with good visual outcomes at follow-up.	Raynaud’s Disease		LEFLUNOMIDE	0
21701167	Background: Prescription omega-3-acid ethyl esters (PO-3A) have been tested for benefit in outcomes in patients with coronary artery disease (CAD), arrhythmias, and heart failure. Some evidence suggests that PO-3A may benefit by maintaining platelets. We tested the hypothesis that PO-3A may suppress platelet activity beyond the antiplatelet properties of aspirin and statins in patients with documented stable CAD. Methods: Patients with documented CAD and triglycerides greater than 250 mg/dl treated with aspirin (70–160 mg daily) and statins (simvastatin equivalent dose: 5–40 mg/day) were treated 1:1:1 with Omacor™ 1 has been changed. g/day (DHA/EPA ratio 1.25:1.0), Omacor 2 g/day or placebo for 2 weeks. Platelet assays, aggregometry and flow cytometry and cartridge analyzer readings were performed 1 and 2 weeks after PO-3A treatment. Results: ADP-coated platelet aggregation (p = 0.037), GP IIb/IIIa antigen (p = 0.031) and activity (p = 0.024), and P-selectin (p = 0.041) were significantly decreased after PO-3A. , while platelet/endothelial cell adhesion molecule (p = 0.09), vitronectin receptor (p = 0.16), platelet-monocyte microparticle formation (p = 0.19), and VerifyNow IIb/IIIa test (p = 0.27) showed nonsignificant trends showing only platelet reduction. shows activity. Finally, collagen- and arachidonic acid-coated junctions, PFA-100 device closure time and thrombospondin (CD36), GP Ib (CD42b), LAMP-3 (CD63), LAMP-1 (CD107a), CD40-ligand (CD154), GP37 (CD165) and PAR-1 receptors intact (SPAN 12) and blocked (WEDE-15) epitopes were not affected by PO-3A for 2 weeks. Conclusions: Independent of dose and as early as 1 week, short-term treatment with PO-3A resulted in a smaller reduction in biomarkers of platelet activity compared to placebo, despite aspirin and statin therapy. The effects of PO-3A are unique, different from those of other known antiplatelet agents, and suggest potential pleiotropism. These preliminary randomized data require confirmation in future studies.	Heart Disease		OMEGA-3-ACID ETHYL ESTERS	1
12676734	This review highlights recent advances in the molecular mechanisms and pathways of aquaporin-2 (AQP2) water channel trafficking. AQP2 is an attractive protein whose regulatory signals can be interpreted by various cell types to achieve apical or basement membrane insertion in regulated and constitutive trafficking pathways. In addition to the known cAMP-mediated, stimulatory effect of vasopressin on AQP2 membrane insertion, other signaling and trafficking can induce AQP2 membrane accumulation through cAMP-independent mechanisms. These include 1) increases in cGMP mediated by sodium nitroprusside (a nitric oxide donor), atrial natriuretic factor, and l-arginine (via nitric oxide synthase); 2) disruption of the actin cytoskeleton; and 3) inhibition of the clathrin-mediated endocytotic arm of the AQP2 recycling pathway by dominant-negative dynamin expression and membrane cholesterol depletion. Recent data also suggest that AQP2 is processed in epithelial cells, can be localized to different membrane domains in different cell types in vitro and in vivo, and that these pathways can be modulated by factors including hypertonicity. Roles of accessory proteins such as small GTPases and soluble N-ethylmaleimide-sensitive factor binding protein receptors in AQP2 membrane insertion are also emerging. Understanding the cAMP-independent mechanisms for membrane insertion of AQP2 is particularly important with therapeutic bypass of the mutated, dysfunctional vasopressin receptor in patients with X-linked nephrogenic diabetes insipidus.		AQP2	sodium	0
29520964	Coexistence of type 2 diabetes mellitus (T2DM) and heart failure (HF), either with reduced (HFrEF) or preserved left ventricle fraction (HFpEF), is common (30-40% of patients) and HF hospitalization is associated with danger. , all-cause and cardiovascular (CV) mortality. The most important causes of HF in T2DM are coronary artery disease, arterial hypertension, and direct myocardial damage of T2DM. T2DM is often underrecognized in HF patients and, conversely, emphasizes the importance of actively searching for both disorders in clinical practice. There are no limitations to HF therapy in T2DM. Subanalyses of HF treatment trials in the population showed that all HF treatments had similar effects regardless of T2DM. Regarding the treatment of T2DM in HF patients, most current guidelines recommend metformin as the first-line choice. Sulfonylureas and insulin are the usual second- and third-line therapies and have equal safety in HF. Neither glucagon-like peptide-1 (GLP-1) receptor agonists nor dipeptidyl peptidase-4 (DPP4) inhibitors reduce the risk of HF hospitalization. Indeed, the DPP4 inhibitor saxagliptin has been associated with an increased risk of HF hospitalization. Thiazolidinediones (pioglitazone and rosiglitazone) are contraindicated in patients with (or at risk of) HF. Recent trials have shown that the sodium-glucose co-transporter-2 (SGLT2) inhibitors, empagliflozin and canagliflozin, both significantly reduced HF hospitalization in patients with established CV disease or at risk for CV disease. Several ongoing trials should provide insight into the efficacy of SGLT2 inhibitors in patients with HFrEF and HFpEF in the absence of T2DM. Keywords: glucose-lowering agents; Heart failure; He was hospitalized for heart failure; Treatment of heart failure; Type 2 diabetes.		DPP4	metformin	0
38574433	Objectives: Doxorubicin is a potent chemotherapeutic agent for cancer, but its use is limited due to its potential cardiotoxicity. Semaglutide (SEMA), a novel glucagon-like peptide-1 (GLP-1) inhibitor, has gained widespread attention in the treatment of diabetes. However, increasing evidence has shown potential therapeutic benefits for heart function. Therefore, the aim of this study was to examine the effect of semaglutide in ameliorating doxorubicin-induced cardiotoxicity. Methods and Results: Doxorubicin-induced cardiotoxicity is an established model to study cardiac function. Cardiac function was assessed by transthoracic echocardiography and invasive hemodynamic monitoring. The results showed that semaglutide significantly improved doxorubicin-induced cardiac dysfunction. RNA sequencing suggested that Bnip3 is a candidate gene mediating the protective effect of semaglutide on doxorubicin-induced cardiotoxicity. To determine the role of BNIP3 in the effect of semaglutide on docorubicin-induced cardiotoxicity, BNIP3 was injected into the tail vein of C57/BL6J mice with adeno-associated virus serotype 9 (AAV9). mainly in the heart. Overexpression of BNIP3 prevented semaglutide-induced improvement in cardiac function. In vitro experiments showed that semaglutide improves mitochondrial function by reducing BNIP3 expression in mitochondria through the PI3K/AKT pathway. Conclusion: Semaglutide ameliorates doxorubicin-induced mitochondrial and cardiac dysfunction via the PI3K/AKT pathway by reducing BNIP3 expression in mitochondria. Improvement of mitochondrial function reduces risk of doxorubicin-induced cardiac injury and improves cardiac function. Therefore, semaglutide is a potential treatment to reduce doxorubicin-induced acute cardiotoxicity. Keywords: BNIP3; Docorubicin-induced cardiotoxicity; Mitochondria; PI3K/AKT; Semaglutide.		BNIP3	Semaglutide	1
35455941	The GBA gene encodes for glucocerebrosidase (GCase), a lysosomal enzyme that maintains glycosphingolipid homeostasis. Approximately 5–15% of PD patients have mutations in the GBA gene, which numerically represents a genetic risk factor for Parkinson's disease (PD). Clinically, GBA-associated PD is identical to sporadic PD, except for earlier onset (AAO), more frequent cognitive impairment, and more rapid progression. Mutations in GBA may be associated with loss-of-function mechanisms. The main symptom of PD is the presence of intracellular proteinaceous inclusions called Lewy bodies, which are mainly composed of alpha-synuclein. Mutations in the GBA gene can lead to loss of GCase activity and lysosomal dysfunction that may disrupt alpha-synuclein turnover. Models of GCase deficiency show dysfunction of the autophagic-lysosomal pathway and subsequent accumulation of alpha-synuclein. This dysfunction can lead to lipid metabolism disorders, including the accumulation of glycosphingolipids, glucosylceramide, and glucosylsphingosine. Certain mutations cause GCase to be mislocalized and retained in the endoplasmic reticulum (ER), activating stress responses including the inducible protein response (UPR), which may contribute to neurodegeneration. In addition to these mechanisms, GCase deficiency has been implicated in the pathogenesis of PD with mitochondrial dysfunction and neuroinflammation. This review discusses the pathways involved in GBA-PD and suggests potential therapies that could target GCase and prevent neurodegeneration.	Parkinson’s Disease	GBA		1
37850885	Background: Psoriasis is a common skin disease. Pathologically, there is abnormal epidermal proliferation, inflammatory cell infiltration, and increased angiogenesis in the dermis. Robust expression of the E3 ubiquitin ligase and disordered protein ubiquitination system in the pathogenesis of psoriasis. Objectives: To investigate the possible role of S-phase kinase-related protein 2 (Skp2), an E3 ligand and an oncogene, in psoriasis. Methods: Gene expression and protein levels were assessed by quantitative reverse transcriptase polymerase chain reaction, western blotting, immunohistochemistry, and immunofluorescence staining of skin samples from patients with psoriasis vulgaris and an imiquimod (IMQ)-trained mouse model, as well as cultured endothelial cells. (EC). Protein interactions, substrate ubiquitination, and degradation were examined by co-immunoprecipitation, Western blotting, and cycloheximide chase assays in human umbilical cord ECs. Angiogenesis was measured in vitro using human dermal microvascular ECs (HDMEC) for BrdU incorporation, migration, and tube formation. In vivo angiogenesis studies include the chick embryonic chorioallantoic membrane, the Matrigel plug assay, and vascular quantification in mouse lesions. Skp2 gene global knockout (KO) mice and endothelium-specific conditional KO mice were used. Results: Skp2 was increased in skin samples from patients with psoriasis and IMQ-induced rat lesions. Immunofluorescent double staining shows that Skp2 expression is closely associated with hypervascular vasculature in the lesional dermal papilla. In HDMECs, Skp2 overexpression enhanced proliferation, while Skp2 knockdown prevented EC proliferation, migration, and tube-like formation. Phosphoinositide 3-kinase/Akt pathway-repressing mechanosensitive phosphatase and tensin homolog (PTEN) has been identified as a novel substrate of Skp2-mediated ubiquitination. A selective inhibitor of Skp2 (C1) or Skp2 small interfering RNA significantly reduced vascular endothelial growth factor-induced PTEN ubiquitination and degradation. Furthermore, Skp2-mediated ubiquitination was dependent on the phosphorylation of PTEN by glycogen synthase kinase 3β. Skp2 gene deficiency attenuated IMQ-induced psoriasis in a mouse model. Importantly, endothelium-specific Skp2 KO mice treated with tamoxifen developed significantly improved psoriasis with reduced papilla angiogenesis. Furthermore, topical application of the Skp2 inhibitor C1 prevented experimental psoriasis. Conclusions: The Skp2/PTEN axis may play an important role in psoriasis-related angiogenesis. Thus, targeting Skp2-driven angiogenesis may be a potential approach for the treatment of psoriasis.	Psoriasis	SKP2		1
38178103	Background: Some studies have shown that gut microbiota may be linked to dementia. However, the causal relationship between the gut microbiota and different types of dementia and whether cytokines act as mediators remains unclear. Methods: Gut microbiota, cytokines and five types of dementia including Alzheimer's disease (AD), frontotemporal dementia (FTD), Lewy body (DLB), vascular dementia (VD) and Parkinson's disease dementia (PDD) have been identified. Summary data from genome-wide association studies (GWAS). We used Mendelian randomization (MR) to investigate causal relationships between gut microbiota, cytokines, and five types of dementia. Inverse weighting (IVW) was used as the primary statistical method. In addition, we investigated whether cytokines serve as mediating factors in the pathway from gut microbiota to dementia. Results: There were 20 positive and 16 negative associations between genetic susceptibility to gut microbiota and dementia. There were also five positive and four negative associations between cytokines and dementia. Cytokines did not act as mediating factors. Results: Gut microbiota and cytokines were significantly associated with five types of dementia, and cytokines did not appear to mediate the pathway from gut microbiota to dementia. Keywords: cytokines; Dementia; Gut microbiota; Mendelian randomization.	Dementia	IVW		0
26242379	Idelalisib is a potent and selective phosphatidylinositol 3-kinase-δ inhibitor, which is the first agent in its class to be approved for the treatment of relapsed chronic lymphocytic leukemia, follicular B-cell non-Hodgkin lymphoma, and lymphoma small lymphoid lymphoid. In dose-ranging studies, idelalisib exposure increased less than proportionally with dose, likely due to solubility-limited absorption. The approved starting dose of 150 mg twice daily has been supported by extensive exposure and response assessments, with dose reduction to 100 mg twice daily permitted for specific toxicities. Idelalisib can be administered without regard to food based on the absence of clinically relevant food effects, and was therefore dosed in primary efficacy/safety studies. Idelalisib is metabolized primarily via aldehyde oxidase (AO) and, to a lesser extent, via cytochrome P450 (CYP) 3A. Coadministration with ketoconazole, a potent CYP3A inhibitor, at a dose of 400 mg once daily resulted in an approximately 79% increase in the area under the plasma concentration-time curve of idelalisib ( ASC). Administration with rifampicin, a strong inducer, resulted in a 75% decrease in idelalisib exposure (AUC) and therefore co-administration with strong inducers should be avoided. GS-563117 is an inactive primary circulating metabolite of idelalisib formed primarily via AO. Unlike idelalisib, GS-563117 is a mechanism-based CYP3A inhibitor. Accordingly, administration of idelalisib 150 mg twice daily increases the AUC of midazolam by 5.4-fold. Clinically, idelalisib is not an inhibitor of the transporters P-glycoprotein, breast cancer resistance protein, organic anion transporting polypeptide (OATP) 1B1, or OAPT1B3. In a population pharmacokinetic model, no significant impact on idelalisib pharmacokinetics was observed for any of the covariates tested. Exposure to idelalisib was approximately 60% higher in moderate to severe hepatic impairment; no significant changes were observed in severe renal impairment. This article reviews a comprehensive pharmacology program, including drug interaction studies and mechanistic and special population studies, which has provided an in-depth understanding of the clinical pharmacokinetics of idelalisib and its impact on safety and clinical effectiveness.	Breast Cancer		Idelalisib	0
27987518	Episcleritis and scleritis are relatively rare eye diseases, usually associated with rheumatic diseases, including systemic lupus erythematosus (SLE). To study the clinical and biological characteristics of episcleritis and scleritis associated with SLE, we now report 4 cases of hospitalized patients diagnosed with episcleritis or scleritis secondary to SLE from September 2005 to July 2016 in the department of Rheumatology and Immunology of Peking University People's Hospital. Demographic, clinical, and laboratory characteristics were summarized along with treatment regimen and prognosis; the literature was reviewed. There were 3 female patients and 1 male patient. The mean age was (49.0 ± 23.8) years and the mean duration from SLE to onset of episcleritis or scleritis was (2.1 ± 1.4) years. In addition to ocular involvement, patients simultaneously presented with mucocutaneous manifestations, serositis, lupus nephritis, and interstitial pneumonia; In the past, 1 patient suffered from arthritis, 2 presented with Raynaud's phenomenon and 2 had hematological damage. All patients had a high titer of antinuclear antibodies (ANA). Anti-double-stranded DNA (dsDNA) antibody titers increased in 2 patients. Three patients had positive anti-nucleosome antibody (ANuA) while the other patient did not test for it. Complement levels decreased in 3 patients. Systemic Lupus Erythematosus Disease Activity Index (SLEDAI) scores were greater than 4 points in all patients (ranging from 7 to 16), suggesting active disease. Eye symptoms included pain, redness of the eyes and tears. Ophthalmological examinations revealed 3 cases of episcleritis and 1 case of scleritis. Among the 4 patients, 2 patients presented ocular complications including decreased vision and uveitis. All patients were treated with systemic corticosteroids combined with hydroxycloroquine; 3 patients were treated with immunosuppressants (cyclophosphamide in 2 patients and leflunomide in 1 patient). All 4 patients received a topical steroid and 1 patient received a periocular injection of triamcinolone acetonide; 1 patient received a topical nonsteroidal anti-inflammatory drug (NSAID). No recurrence of episcleritis or scleritis was observed during follow-ups. In conclusion, scleritis and episcleritis, although rare, can occur in patients with autoimmune rheumatic diseases, including SLE. The occurrence of episcleritis and scleritis may suggest active SLE disease. Ocular complications should be considered in patients. Prompt diagnosis and treatment were associated with good visual outcomes at follow-ups.	Raynaud’s Disease		LEFLUNOMIDE	0
21701167	Background: Prescription ethyl esters of omega-3 acids (PO-3A) have been tested for their benefits in patients with coronary artery disease (CAD), arrhythmias, and heart failure. Some evidence suggests that PO-3A may exert its beneficial effects by inhibiting platelets. We tested the hypothesis that PO-3A may inhibit platelet activity in patients with documented stable CAD, beyond the antiplatelet properties of aspirin and statins. Methods: Thirty patients with documented coronary artery disease and triglycerides greater than 250 mg/dl treated with aspirin (70-160 mg/day) and statins (simvastatin equivalent dose: 5-40 mg/day) were randomized in a 1:1:1 ratio to receive Omacor™ 1. g/day (DHA/EPA ratio 1.25:1.0), Omacor 2 g/day or placebo for 2 weeks. Platelet tests including aggregometry and flow cytometry and cartridge analyzer readings were performed at baseline and 1 and 2 weeks after PO-3A treatment. Results: ADP-induced platelet aggregation (p = 0.037), GP IIb/IIIa antigen (p = 0.031) and its activity (p = 0.024) and P-selectin (p = 0.041) were significantly reduced after PO-3A, ​​while platelet/endothelial cell adhesion molecule (p = 0.09), vitronectin receptor (p = 0.16), platelet-monocyte microparticle formation (p = 0, 19) and the VerifyNow IIb/IIIa test (p = 0.27) showed only non-significant trends suggesting a reduction in platelet counts. activity. Finally, the aggregation induced by collagen and arachidonic acid, the closure time with the PFA-100 device and the expression of thrombospondin (CD36), GP Ib (CD42b), LAMP-3 (CD63) , LAMP-1 (CD107a), CD40 ligand. (CD154), GP37 (CD165), and intact (SPAN 12) and cleaved (WEDE-15) PAR-1 receptor epitopes were not affected by 2 weeks of PO-3A. Conclusion: Independent of dose and from 1 week, short-term treatment with PO-3A resulted in a slight reduction in biomarkers of platelet activity, despite concomitant treatment with aspirin and statin, compared to placebo. The effect of PO-3A is unique, differs from that of other known antiplatelet agents, and suggests potential pleiotropism. These preliminary randomized data require confirmation by prospective studies.	Heart Disease		OMEGA-3-ACID ETHYL ESTERS	1
12676734	This review describes recent advances related to the molecular mechanisms and trafficking pathways of aquaporin-2 (AQP2) water channels. AQP2 is a fascinating protein, whose sorting signals can be interpreted by different cell types to achieve apical or basolateral membrane insertion, in regulated and constitutive trafficking pathways. In addition to the well-known cAMP-mediated stimulatory effect of vasopressin on membrane AQP2 insertion, other signaling and trafficking events may also lead to membrane AQP2 accumulation via independent mechanisms. of cAMP. These include 1) elevation of cGMP, mediated by sodium nitroprusside (a nitric oxide donor), atrial natriuretic factor, and L-arginine (via nitric oxide synthase); 2) disruption of the actin cytoskeleton; and 3) inhibition of the clathrin-mediated endocytic arm of the AQP2 recycling pathway by dominant-negative dynamin expression and membrane cholesterol depletion. Recent data also indicate that AQP2 recycles constitutively in epithelial cells, that it can be inserted into different membrane domains of different cell types in vitro and in vivo, and that these pathways can be modulated by factors such as hypertonia. The roles of accessory proteins, including small GTPases and N-ethylmaleimide-sensitive attachment factor-binding protein receptor proteins in AQP2 membrane insertion, are also uncovered. Understanding cAMP-independent mechanisms for membrane insertion of AQP2 is particularly relevant for therapeutic circumvention of the mutated and dysfunctional vasopressin receptor in patients with X-linked nephrogenic diabetes insipidus.		AQP2	sodium	0
29520964	The coexistence of type 2 diabetes mellitus (T2DM) and heart failure (HF), with reduced (HFrEF) or preserved ejection fraction (HFpEF), is common (30 to 40% of patients) and associated at a higher risk of hospitalization for HF. , all-cause and cardiovascular (CV) mortality. The most important causes of HF in T2DM are coronary heart disease, high blood pressure and a direct detrimental effect of T2DM on the myocardium. T2DM is often unrecognized in patients with HF, and vice versa, highlighting the importance of active investigation of both disorders in clinical practice. There are no specific limitations to the treatment of HF in T2D. Subanalyses of HF treatment trials in the general population have shown that all HF therapies are equally effective regardless of T2D. Regarding the treatment of T2DM in patients with HF, most guidelines currently recommend metformin as the first-line choice. Sulphonylureas and insulin are the traditional second- and third-line treatments, although their safety in HF is equivocal. Neither glucagon-like preptide-1 (GLP-1) receptor agonists nor dipeptidyl peptidase-4 (DPP4) inhibitors reduce the risk of HF hospitalization. Indeed, a DPP4 inhibitor, saxagliptin, has been associated with a higher risk of hospitalization for HF. Thiazolidinediones (pioglitazone and rosiglitazone) are contraindicated in patients with (or at risk for) HF. In recent trials, the sodium-glucose cotransporter-2 (SGLT2) inhibitors empagliflozin and canagliflozin both showed a significant reduction in HF hospitalizations in patients with established cardiovascular disease or at risk of heart disease. Several ongoing trials are expected to provide insight into the effectiveness of SGLT2 inhibitors in patients with HFrEF and HFpEF in the absence of T2DM. Keywords: Hypoglycemic agents; Heart failure; Hospitalization for heart failure; Treatment of heart failure; Type 2 diabetes mellitus.		DPP4	metformin	0
38574433	Objectives: Doxorubicin is a potent cancer chemotherapeutic agent with limited use due to its potential cardiotoxicity. Semaglutide (SEMA), a novel glucagon-like peptide-1 (GLP-1) analogue, has received wide attention for the treatment of diabetes. However, increasing evidence highlights its potential therapeutic benefits on cardiac function. Therefore, the objective of this study was to examine the effectiveness of semaglutide in ameliorating doxorubicin-induced cardiotoxicity. Methods and Results: Doxorubicin-induced cardiotoxicity is an established model to study cardiac function. Cardiac function was studied by transthoracic echocardiography and invasive hemodynamic monitoring. The results showed that semaglutide significantly attenuated doxorubicin-induced cardiac dysfunction. RNA sequencing suggests that Bnip3 is the candidate gene that impairs the protective effect of semaglutide against doxorubicin-induced cardiotoxicity. To determine the role of BNIP3 on the effect of semaglutide on doxorubicin-induced cardiotoxicity, BNIP3 with adeno-associated virus serotype 9 (AAV9) expressing cardiac troponin T (cTnT) promoter was injected into the vein caudal bone of C57/BL6J mice to overexpress BNIP3, specifically in the heart. Overexpression of BNIP3 prevented semaglutide-induced improvement in cardiac function. In vitro experiments showed that semaglutide, via the PI3K/AKT pathway, reduced BNIP3 expression in mitochondria, thereby improving mitochondrial function. Conclusion: Semaglutide ameliorates doxorubicin-induced mitochondrial and cardiac dysfunction via the PI3K/AKT pathway, by reducing BNIP3 expression in mitochondria. Improving mitochondrial function reduces doxorubicin-mediated cardiac injury and improves cardiac function. Therefore, semaglutide is a potential treatment to reduce acute doxorubicin-induced cardiotoxicity. Keywords: BNIP3; Doxorubicin-induced cardiotoxicity; Mitochondria; PI3K/AKT; Semaglutide.		BNIP3	Semaglutide	1
35455941	The GBA gene encodes the lysosomal enzyme glucocerebrosidase (GCase), which maintains glycosphingolipid homeostasis. Approximately 5–15% of PD patients have mutations in the GBA gene, making it numerically the most important genetic risk factor for Parkinson's disease (PD). Clinically, GBA-associated PD is identical to sporadic PD, apart from an earlier age of onset (AAO), more frequent cognitive impairment, and more rapid progression. GBA mutations can be associated with loss- and gain-of-function mechanisms. A key feature of PD is the presence of intraneuronal protein inclusions called Lewy bodies, consisting mainly of alpha-synuclein. Mutations in the GBA gene can lead to loss of GCase activity and lysosomal dysfunction, which can impair alpha-synuclein metabolism. Models of GCase deficiency demonstrate dysfunction of the autophagic-lysosomal pathway and subsequent accumulation of alpha-synuclein. This dysfunction can also lead to aberrant lipid metabolism, including the accumulation of glycosphingolipids, glucosylceramide, and glucosylsphingosine. Certain mutations cause misfolding of GCase and its retention in the endoplasmic reticulum (ER), activating stress responses including the unfolded protein response (UPR), which may contribute to neurodegeneration. In addition to these mechanisms, GCase deficiency has also been associated with mitochondrial dysfunction and neuroinflammation, which are implicated in the pathogenesis of PD. This review discusses the pathways associated with GBA-PD and highlights potential treatments that may act to target GCase and prevent neurodegeneration.	Parkinson’s Disease	GBA		1
37850885	Background: Psoriasis is a common chronic skin disease. Pathologically, it is characterized by abnormal epidermal proliferation, infiltrating inflammatory cells and increased angiogenesis in the dermis. Aberrant expression of E3 ubiquitin ligase and a dysregulated protein ubiquitination system are involved in the pathogenesis of psoriasis. Objectives: To examine the potential role of S-phase kinase-associated protein 2 (Skp2), an E3 ligase and oncogene, in psoriasis. Methods: Gene expression and protein levels were assessed by quantitative reverse transcriptase polymerase chain reaction, Western blot, immunohistochemistry, and immunofluorescence staining of skin samples from psoriasis vulgaris patients and a model of mice induced by imiquimod (IMQ), as well as endothelial cells in culture. (THIS). Protein interaction, ubiquitination, and substrate degradation were examined by co-immunoprecipitation, Western blotting, and a cycloheximide chase assay in human umbilical vein ECs. Angiogenesis was measured in vitro using human dermal microvascular ECs (HDMECs) for BrdU incorporation, migration, and tube formation. In vivo angiogenesis assays included chicken embryo chorioallantoic membrane, Matrigel plug assay, and quantification of vasculature in mouse lesions. Skp2 gene global knockout (KO) mice and endothelium-specific conditional KO mice were used. Results: Skp2 was increased in skin samples from psoriasis patients and IMQ-induced mouse lesions. Double immunofluorescent staining indicated a close association between Skp2 expression and excessive vascularization in lesional skin papillae. In HDMECs, Skp2 overexpression was enhanced, while Skp2 knockdown inhibited proliferation, migration, and tubular structure formation. Mechanistically, phosphatase tensin homolog (PTEN), which suppresses the phosphoinositide 3-kinase/Akt pathway, was identified as a novel substrate for Skp2-mediated ubiquitination. A selective inhibitor of Skp2 (C1) or Skp2 small interfering RNA significantly reduced vascular endothelial growth factor-triggered PTEN ubiquitination and degradation. Furthermore, Skp2-mediated ubiquitination was dependent on PTEN phosphorylation by glycogen synthase kinase 3β. In the mouse model, Skp2 gene deficiency attenuated IMQ-induced psoriasis. Importantly, tamoxifen-induced endothelium-specific Skp2 KO mice developed significantly improved psoriasis with diminished papillae angiogenesis. Additionally, topical use of Skp2 inhibitor C1 effectively prevented experimental psoriasis. Conclusions: The Skp2/PTEN axis may play an important role in psoriasis-associated angiogenesis. Thus, targeting Skp2-mediated angiogenesis could be a potential approach to treat psoriasis.	Psoriasis	SKP2		1
38178103	Background: Some studies have shown that the gut microbiota may be associated with dementia. However, the causal effects between gut microbiota and different types of dementia and whether cytokines act as mediators remain unclear. Methods: Gut microbiota, cytokines and five types of dementia, including Alzheimer's disease (AD), frontotemporal dementia (FTD), dementia with Lewy bodies (DLB), vascular dementia (VD) and dementia due to Parkinson's disease (PDD), were identified from large genome-wide association study summary data (GWAS). We used Mendelian randomization (MR) to study the causal relationships between gut microbiota, cytokines and five types of dementia. Inverse variance weighting (IVW) was used as the main statistical method. Additionally, we examined whether cytokines act as a mediating factor in the gut microbiota shift to dementia. Results: There were 20 positive and 16 negative causal effects between genetic liability in the gut microbiota and dementia. Furthermore, there were five positive and four negative causal effects between cytokines and dementias. Cytokines did not act as mediating factors. Conclusions: Gut microbiota and cytokines were causally associated with five types of dementia, and cytokines did not appear to be the mediating factors in the pathway from gut microbiota to dementia. Keywords: Cytokines; Dementia; Gut microbiota; Mendelian randomization.	Dementia	IVW		0
