C_term	B_term	Prediction Score	FET p value	ratio	B_term count	C_term count	B_C_counts	db total
CONJUGATED	cell activity	0.05483	3.67965e-15	0.00301	6028	13272	40	9451155
CONJUGATED	diet	0.05267	5.71196e-07	0.00987	58989	13272	131	9451155
CONJUGATED	inflammation	0.04046	1.00479e-07	0.00558	26813	13272	74	9451155
CONJUGATED	faecal excretion	0.03695	9.24619e-12	0.00083	367	13272	11	9451155
CALCIUM CARBONATE	absorption	0.65398	8.07694e-82	0.11296	63595	841	95	9451155
CALCIUM CARBONATE	diet	0.34001	4.07962e-37	0.06540	58989	841	55	9451155
SULFUR	absorption	0.65354	4.27758e-164	0.04300	63595	8418	362	9451155
SULFUR	diet	0.40464	7.88821e-97	0.03136	58989	8418	264	9451155
SULFUR	nutrition	0.07375	3.20370e-15	0.00855	27262	8418	72	9451155
SULFUR	splenic function	0.03534	4.14180e-11	0.00095	221	8418	8	9451155
CELLULOSE	diet	0.64939	3.43631e-177	0.03019	58989	16758	506	9451155
CELLULOSE	absorption	0.46120	6.14352e-121	0.02614	63595	16758	438	9451155
GLYCINE	absorption	0.64211	1.17202e-172	0.03214	63595	15525	499	9451155
GLYCINE	diet	0.41011	2.76118e-106	0.02448	58989	15525	380	9451155
GLYCINE	deconjugation	0.22863	1.46074e-71	0.00277	255	15525	43	9451155
GLYCINE	nutrition	0.16486	1.62435e-42	0.01050	27262	15525	163	9451155
GLYCINE	bile acid metabolism	0.15075	5.71867e-47	0.00225	429	15525	35	9451155
GLYCINE	enterohepatic circulation	0.10322	7.93758e-32	0.00206	883	15525	32	9451155
GLYCINE	faecal excretion	0.02613	1.54506e-08	0.00058	367	15525	9	9451155
T3)	diet	0.62633	3.44369e-164	0.03514	58989	11525	405	9451155
T3)	sex	0.38906	1.09569e-93	0.02967	73023	11525	342	9451155
T3)	resection	0.32273	4.04482e-82	0.02082	41979	11525	240	9451155
T3)	weight loss	0.24157	1.56807e-68	0.00937	8807	11525	108	9451155
T3)	excision	0.06741	2.56963e-15	0.00659	21648	11525	76	9451155
T3)	cell activity	0.05487	5.87095e-15	0.00321	6028	11525	37	9451155
T3)	nutritional status	0.03548	7.88891e-10	0.00217	4453	11525	25	9451155
GLUCAGON	diet	0.60807	3.58046e-162	0.03169	58989	13917	441	9451155
GLUCAGON	weight loss	0.12676	1.72576e-35	0.00568	8807	13917	79	9451155
GLUCAGON	absorption	0.08437	3.08287e-14	0.01257	63595	13917	175	9451155
GLUCAGON	pathogenesis	0.07143	1.02278e-11	0.01107	57792	13917	154	9451155
GLUCAGON	nutrition	0.04336	1.80079e-08	0.00575	27262	13917	80	9451155
GLUCAGON	resection	0.04076	4.61636e-06	0.00719	41979	13917	100	9451155
GLUCAGON	intestinal function	0.01898	2.61356e-06	0.00050	396	13917	7	9451155
MIFEPRISTONE	bleeding	0.60555	1.09061e-38	0.13514	30415	222	30	9451155
CALCITRIOL	absorption	0.60417	3.15001e-60	0.11744	63595	579	68	9451155
CALCITRIOL	diet	0.35510	1.22529e-31	0.07427	58989	579	43	9451155
CALCITRIOL	pathogenesis	0.12922	3.56213e-08	0.03109	57792	579	18	9451155
CALCITRIOL	healing	0.08405	4.75540e-07	0.01900	24294	579	11	9451155
SILVER SULFADIAZINE	healing	0.59801	9.90746e-34	0.13714	24294	175	24	9451155
SILVER SULFADIAZINE	absorption	0.19434	3.56813e-06	0.05143	63595	175	9	9451155
SILVER SULFADIAZINE	excision	0.15790	2.08564e-07	0.04000	21648	175	7	9451155
CAPSAICIN	inflammation	0.59397	3.63942e-123	0.06193	26813	2083	129	9451155
MAGNESIUM TRISILICATE	absorption	0.59025	7.94783e-20	0.14615	63595	130	19	9451155
BENTIROMIDE	absorption	0.58851	2.38692e-06	0.15625	63595	32	5	9451155
AMINOCAPROIC ACID	bleeding	0.58555	2.12215e-92	0.08585	30415	1025	88	9451155
TESTOLACTONE	sex	0.58441	8.69975e-10	0.15254	73023	59	9	9451155
UROKINASE	bleeding	0.58349	2.78753e-136	0.04757	30415	3637	173	9451155
UROKINASE	inflammation	0.06010	1.21671e-09	0.00962	26813	3637	35	9451155
TESTOSTERONE ENANTHATE	sex	0.57993	1.01041e-23	0.14045	73023	178	25	9451155
CYANOCOBALAMIN	absorption	0.57882	1.02826e-56	0.11364	63595	572	65	9451155
CYANOCOBALAMIN	diet	0.11389	1.03818e-06	0.02797	58989	572	16	9451155
TRIFLURIDINE	healing	0.57420	4.25833e-11	0.14894	24294	47	7	9451155
MITOTANE	resection	0.57298	1.97131e-18	0.14286	41979	105	15	9451155
THIAMINE	diet	0.56856	1.29926e-125	0.05268	58989	4233	223	9451155
THIAMINE	nutrition	0.19018	1.17816e-40	0.01961	27262	4233	83	9451155
THIAMINE	absorption	0.14040	5.90018e-22	0.02197	63595	4233	93	9451155
THIAMINE	nutritional status	0.13649	5.06235e-35	0.00898	4453	4233	38	9451155
PHENTERMINE	weight loss	0.56787	4.94354e-28	0.13393	8807	112	15	9451155
LACTITOL	absorption	0.56692	3.87521e-11	0.14706	63595	68	10	9451155
LACTITOL	bowel movements	0.30497	2.59497e-16	0.07353	287	68	5	9451155
FLUOROMETHOLONE	inflammation	0.56348	4.53355e-12	0.14545	26813	55	8	9451155
FLUTAMIDE	sex	0.55141	9.06556e-43	0.11778	73023	433	51	9451155
VITAMIN A PALMITATE	diet	0.54373	3.48295e-13	0.13953	58989	86	12	9451155
OXYGEN	absorption	0.54215	2.51142e-158	0.01600	63595	76620	1226	9451155
OXYGEN	pathogenesis	0.25353	7.37209e-70	0.01168	57792	76620	895	9451155
OXYGEN	inflammation	0.22383	9.60866e-66	0.00668	26813	76620	512	9451155
OXYGEN	wall thickening	0.08581	1.01708e-27	0.00067	845	76620	51	9451155
OXYGEN	healing	0.04355	1.19677e-10	0.00381	24294	76620	292	9451155
OXYGEN	weight loss	0.04086	5.37511e-12	0.00177	8807	76620	136	9451155
OXYGEN	inflammatory process	0.03827	2.61895e-12	0.00072	2257	76620	55	9451155
OXYGEN	chronic inflammation	0.02252	1.78051e-07	0.00048	1716	76620	37	9451155
METFORMIN	diet	0.53939	2.63024e-42	0.11500	58989	400	46	9451155
METFORMIN	absorption	0.25392	1.45879e-15	0.06000	63595	400	24	9451155
METFORMIN	weight loss	0.10622	2.50977e-10	0.02250	8807	400	9	9451155
PROPYLTHIOURACIL	diet	0.53619	1.46866e-85	0.07816	58989	1497	117	9451155
PROPYLTHIOURACIL	catch up growth	0.02770	9.05841e-07	0.00267	439	1497	4	9451155
FLUOROURACIL	resection	0.53016	1.35218e-133	0.03473	41979	7257	252	9451155
FLUOROURACIL	weight loss	0.14365	8.24529e-38	0.00854	8807	7257	62	9451155
FLUOROURACIL	excision	0.12543	3.32319e-29	0.01102	21648	7257	80	9451155
FLUOROURACIL	anorectal function	0.03030	1.29001e-09	0.00083	133	7257	6	9451155
FLUOROURACIL	cell activity	0.02609	1.85990e-06	0.00248	6028	7257	18	9451155
BISACODYL	absorption	0.52470	3.23947e-16	0.13223	63595	121	16	9451155
BISACODYL	diet	0.31540	6.04208e-09	0.08264	58989	121	10	9451155
PHENYLBUTAZONE	inflammatory activity	0.52179	1.25734e-137	0.02872	1368	2507	72	9451155
PHENYLBUTAZONE	inflammation	0.40957	1.16683e-85	0.04268	26813	2507	107	9451155
PHENYLBUTAZONE	absorption	0.15557	4.05006e-21	0.02712	63595	2507	68	9451155
PHENYLBUTAZONE	chronic inflammation	0.05635	1.02228e-13	0.00479	1716	2507	12	9451155
PHENYLBUTAZONE	leucocyte migration	0.05039	4.26739e-13	0.00359	677	2507	9	9451155
PHENYLBUTAZONE	disease activity	0.03137	5.92749e-07	0.00359	3493	2507	9	9451155
ANGIOTENSIN II	diet	0.52129	5.25008e-133	0.03270	58989	10703	350	9451155
ANGIOTENSIN II	pathogenesis	0.17216	8.78529e-37	0.01785	57792	10703	191	9451155
DEXAMETHASONE	inflammation	0.51926	1.66763e-145	0.02091	26813	13774	288	9451155
DEXAMETHASONE	sex	0.17109	1.53884e-35	0.01866	73023	13774	257	9451155
DEXAMETHASONE	acute phase response	0.16267	4.11958e-50	0.00290	665	13774	40	9451155
DEXAMETHASONE	inflammatory activity	0.12873	4.52120e-39	0.00298	1368	13774	41	9451155
DEXAMETHASONE	weight loss	0.12518	5.41743e-35	0.00566	8807	13774	78	9451155
DEXAMETHASONE	inflammatory process	0.01901	9.20648e-06	0.00102	2257	13774	14	9451155
ESTRADIOL CYPIONATE	bleeding	0.51803	7.05705e-09	0.13636	30415	44	6	9451155
ARGININE	diet	0.51257	1.99612e-138	0.02533	58989	18828	477	9451155
ARGININE	absorption	0.09317	2.32985e-17	0.01232	63595	18828	232	9451155
ARGININE	bleeding	0.08281	2.95621e-19	0.00754	30415	18828	142	9451155
ARGININE	nutrition	0.03420	1.87130e-06	0.00489	27262	18828	92	9451155
ARGININE	weight loss	0.02567	1.19248e-06	0.00218	8807	18828	41	9451155
IDOXURIDINE	healing	0.51071	8.38667e-39	0.11029	24294	272	30	9451155
MITOMYCIN	resection	0.50995	2.08251e-123	0.03797	41979	5741	218	9451155
MITOMYCIN	excision	0.25110	5.10883e-61	0.01899	21648	5741	109	9451155
MITOMYCIN	cell activity	0.20753	1.38343e-55	0.01115	6028	5741	64	9451155
MITOMYCIN	suppressor cell function	0.04363	4.06753e-13	0.00157	296	5741	9	9451155
MITOMYCIN	weight loss	0.04056	2.79488e-09	0.00418	8807	5741	24	9451155
MITOMYCIN	anorectal function	0.02647	2.48719e-08	0.00087	133	5741	5	9451155
MITOMYCIN	immunoregulation	0.02446	4.09178e-07	0.00139	1062	5741	8	9451155
TRIMIPRAMINE	healing	0.50176	1.08312e-31	0.11374	24294	211	24	9451155
CEFPODOXIME PROXETIL	absorption	0.49752	1.11327e-09	0.13043	63595	69	9	9451155
ACYCLOVIR	healing	0.49371	7.73241e-101	0.05320	24294	2030	108	9451155
ACYCLOVIR	inflammation	0.06465	1.07156e-08	0.01182	26813	2030	24	9451155
MAGNESIUM OXIDE	diet	0.49115	1.42238e-20	0.12000	58989	175	21	9451155
MAGNESIUM OXIDE	absorption	0.31315	2.40650e-11	0.08000	63595	175	14	9451155
DIGOXIN	absorption	0.49013	2.51288e-109	0.04475	63595	5184	232	9451155
DIGOXIN	enterohepatic circulation	0.03247	2.50631e-09	0.00174	883	5184	9	9451155
CLORAZEPATE DIPOTASSIUM	absorption	0.48887	6.90059e-07	0.13043	63595	46	6	9451155
DIETHYLPROPION	weight loss	0.48652	6.66654e-27	0.11364	8807	132	15	9451155
DIETHYLPROPION	diet	0.32039	9.68807e-10	0.08333	58989	132	11	9451155
SODIUM BICARBONATE	diet	0.48274	1.46206e-80	0.06768	58989	1773	120	9451155
SODIUM BICARBONATE	absorption	0.24236	2.33426e-33	0.04117	63595	1773	73	9451155
SODIUM BICARBONATE	weight loss	0.05320	2.65578e-09	0.00790	8807	1773	14	9451155
MOXALACTAM DISODIUM	bleeding	0.48141	3.14755e-06	0.12903	30415	31	4	9451155
TICLOPIDINE	bleeding	0.47563	8.01146e-46	0.09513	30415	431	41	9451155
KETOROLAC TROMETHAMINE	inflammation	0.47472	1.83260e-11	0.12308	26813	65	8	9451155
FENFLURAMINE	weight loss	0.46419	9.13429e-92	0.05280	8807	1269	67	9451155
FENFLURAMINE	diet	0.27262	2.13542e-34	0.04886	58989	1269	62	9451155
CYCLOPHOSPHAMIDE	cell activity	0.46340	1.04542e-137	0.01163	6028	13590	158	9451155
CYCLOPHOSPHAMIDE	resection	0.20903	2.46578e-51	0.01545	41979	13590	210	9451155
CYCLOPHOSPHAMIDE	inflammation	0.16660	1.73654e-42	0.01104	26813	13590	150	9451155
CYCLOPHOSPHAMIDE	weight loss	0.14893	6.13043e-42	0.00633	8807	13590	86	9451155
CYCLOPHOSPHAMIDE	excision	0.10852	4.09139e-27	0.00795	21648	13590	108	9451155
CYCLOPHOSPHAMIDE	pathogenesis	0.10089	3.67738e-19	0.01295	57792	13590	176	9451155
CYCLOPHOSPHAMIDE	disease activity	0.08768	1.31686e-25	0.00316	3493	13590	43	9451155
CYCLOPHOSPHAMIDE	suppressor cell function	0.08625	5.48633e-27	0.00147	296	13590	20	9451155
CYCLOPHOSPHAMIDE	bleeding	0.07127	2.51873e-15	0.00773	30415	13590	105	9451155
CYCLOPHOSPHAMIDE	immunoregulation	0.06033	1.87001e-18	0.00162	1062	13590	22	9451155
CYCLOPHOSPHAMIDE	sex	0.05661	1.78112e-06	0.01148	73023	13590	156	9451155
CYCLOPHOSPHAMIDE	granulomatous inflammation	0.03437	7.19662e-11	0.00088	564	13590	12	9451155
CYCLOPHOSPHAMIDE	inflammatory activity	0.01870	6.92052e-06	0.00081	1368	13590	11	9451155
FOSINOPRIL	absorption	0.45287	8.44653e-06	0.12195	63595	41	5	9451155
GLIPIZIDE	diet	0.45162	1.40338e-24	0.10630	58989	254	27	9451155
GLIPIZIDE	absorption	0.30350	2.41907e-14	0.07480	63595	254	19	9451155
ERGOCALCIFEROL	absorption	0.44927	1.68879e-13	0.11475	63595	122	14	9451155
ERGOCALCIFEROL	diet	0.27937	9.29088e-08	0.07377	58989	122	9	9451155
BUMETANIDE	absorption	0.44477	5.70573e-55	0.07906	63595	974	77	9451155
PROTAMINE	bleeding	0.44414	2.16400e-94	0.04483	30415	2744	123	9451155
SIMVASTATIN	diet	0.42886	5.93386e-24	0.10075	58989	268	27	9451155
NORETHINDRONE	bleeding	0.41807	5.88318e-44	0.08108	30415	518	42	9451155
NORETHINDRONE	sex	0.25105	4.83445e-17	0.05792	73023	518	30	9451155
CEPHALOGLYCIN	absorption	0.41641	5.32144e-09	0.10976	63595	82	9	9451155
ETHINYL ESTRADIOL	sex	0.41277	3.02902e-48	0.07599	73023	987	75	9451155
ETHINYL ESTRADIOL	bleeding	0.34722	1.84309e-49	0.05674	30415	987	56	9451155
ETHINYL ESTRADIOL	diet	0.21081	1.32254e-21	0.04255	58989	987	42	9451155
MEDROXYPROGESTERONE	sex	0.41176	2.08009e-60	0.06530	73023	1608	105	9451155
MEDROXYPROGESTERONE	bleeding	0.39000	3.71501e-69	0.05162	30415	1608	83	9451155
PROTEIN HYDROLYSATE	diet	0.40558	9.97074e-25	0.09385	58989	309	29	9451155
PROTEIN HYDROLYSATE	absorption	0.37162	1.73715e-21	0.08738	63595	309	27	9451155
PROTEIN HYDROLYSATE	nutrition	0.22404	2.29712e-15	0.05178	27262	309	16	9451155
THIOTEPA	resection	0.40549	7.94338e-38	0.08283	41979	495	41	9451155
THIOTEPA	excision	0.10889	2.96554e-09	0.02424	21648	495	12	9451155
PRAVASTATIN	diet	0.39516	1.01702e-14	0.09938	58989	161	16	9451155
PREDNICARBATE	inflammatory activity	0.26491	7.89385e-06	0.07143	1368	28	2	9451155
CYSTEINE	absorption	0.39408	5.06845e-100	0.02545	63595	14654	373	9451155
CYSTEINE	diet	0.12193	8.17111e-25	0.01399	58989	14654	205	9451155
CYSTEINE	acute phase response	0.03797	5.95653e-12	0.00096	665	14654	14	9451155
CYSTEINE	inflammation	0.03393	3.43901e-06	0.00505	26813	14654	74	9451155
VIDARABINE	healing	0.39280	7.32276e-31	0.08525	24294	305	26	9451155
PROTIRELIN	sex	0.39016	5.50667e-06	0.10526	73023	57	6	9451155
TITANIUM DIOXIDE	inflammation	0.38940	1.20489e-20	0.09290	26813	183	17	9451155
CEPHALEXIN	absorption	0.38931	4.89183e-51	0.06712	63595	1177	79	9451155
SULFISOXAZOLE	absorption	0.38723	2.48385e-23	0.09006	63595	322	29	9451155
INULIN	absorption	0.38656	6.00283e-74	0.04645	63595	3251	151	9451155
INULIN	diet	0.27503	9.14327e-50	0.03599	58989	3251	117	9451155
INULIN	intestinal permeability	0.03652	3.50655e-10	0.00215	450	3251	7	9451155
PANTOTHENIC ACID	diet	0.38587	1.35446e-49	0.06741	58989	1083	73	9451155
PANTOTHENIC ACID	nutrition	0.09887	2.11695e-11	0.01939	27262	1083	21	9451155
CEFMETAZOLE	absorption	0.38022	1.03371e-25	0.08616	63595	383	33	9451155
DOXORUBICIN	resection	0.37854	1.50256e-85	0.03390	41979	4808	163	9451155
DOXORUBICIN	weight loss	0.10559	1.55276e-25	0.00853	8807	4808	41	9451155
DOXORUBICIN	excision	0.10243	2.55309e-21	0.01144	21648	4808	55	9451155
CEFPROZIL	absorption	0.37756	3.08030e-06	0.10169	63595	59	6	9451155
MAGNESIUM CARBONATE	absorption	0.37756	3.08030e-06	0.10169	63595	59	6	9451155
CLOBETASOL PROPIONATE	healing	0.37680	1.49520e-15	0.09375	24294	128	12	9451155
DIETHYLSTILBESTROL	sex	0.37409	1.15661e-64	0.05105	73023	2664	136	9451155
DICLOFENAC	inflammation	0.37376	6.72881e-56	0.05859	26813	1007	59	9451155
DICLOFENAC	absorption	0.22753	1.87161e-23	0.04568	63595	1007	46	9451155
DICLOFENAC	inflammatory activity	0.12722	1.58927e-25	0.01490	1368	1007	15	9451155
DICLOFENAC	bleeding	0.10301	4.06134e-11	0.02085	30415	1007	21	9451155
DICLOFENAC	enterohepatic circulation	0.04815	8.61539e-10	0.00596	883	1007	6	9451155
DICLOFENAC	inflammatory process	0.03304	5.41731e-06	0.00497	2257	1007	5	9451155
PENICILLIN V	absorption	0.37038	2.04495e-28	0.08120	63595	468	38	9451155
DYDROGESTERONE	bleeding	0.36968	4.38217e-09	0.09722	30415	72	7	9451155
FUROSEMIDE	absorption	0.36647	6.76000e-77	0.03812	63595	4879	186	9451155
FUROSEMIDE	diet	0.31070	3.44565e-64	0.03341	58989	4879	163	9451155
FUROSEMIDE	weight loss	0.06936	3.29294e-16	0.00635	8807	4879	31	9451155
OXAPROZIN	bleeding	0.36587	7.16509e-07	0.09804	30415	51	5	9451155
LEVOBUNOLOL	absorption	0.36228	1.05795e-07	0.09639	63595	83	8	9451155
DEXTROTHYROXINE	diet	0.35859	4.19149e-07	0.09589	58989	73	7	9451155
ERYTHROMYCIN ETHYLSUCCINATE	absorption	0.35841	1.97243e-08	0.09474	63595	95	9	9451155
PIROXICAM	inflammation	0.35763	3.77083e-51	0.05819	26813	928	54	9451155
PIROXICAM	absorption	0.15141	9.62832e-13	0.03341	63595	928	31	9451155
PIROXICAM	inflammatory activity	0.13320	4.67396e-26	0.01616	1368	928	15	9451155
PIROXICAM	bleeding	0.07407	5.88163e-07	0.01616	30415	928	15	9451155
PIROXICAM	disease activity	0.05533	3.38232e-09	0.00862	3493	928	8	9451155
PIROXICAM	inflammatory process	0.03499	3.65413e-06	0.00539	2257	928	5	9451155
PIROXICAM	enterohepatic circulation	0.03205	2.16921e-06	0.00431	883	928	4	9451155
ARSENIC TRIOXIDE	absorption	0.35592	3.69025e-09	0.09346	63595	107	10	9451155
TYROSINE	diet	0.34665	2.83056e-91	0.01953	58989	22473	439	9451155
TYROSINE	absorption	0.27730	4.15843e-70	0.01842	63595	22473	414	9451155
TYROSINE	nutrition	0.03386	1.57509e-06	0.00472	27262	22473	106	9451155
HYDROXYUREA	excision	0.33871	3.92368e-72	0.03439	21648	2617	90	9451155
NAPROXEN	inflammation	0.33459	9.59196e-56	0.04769	26813	1363	65	9451155
NAPROXEN	absorption	0.22419	9.32785e-27	0.04182	63595	1363	57	9451155
NAPROXEN	inflammatory activity	0.19562	8.23034e-44	0.01834	1368	1363	25	9451155
NAPROXEN	bleeding	0.18092	5.29818e-26	0.03008	30415	1363	41	9451155
NAPROXEN	disease activity	0.16431	1.06182e-33	0.01834	3493	1363	25	9451155
NAPROXEN	chronic inflammation	0.04224	8.85554e-09	0.00514	1716	1363	7	9451155
NAPROXEN	oral intake	0.03395	1.05545e-07	0.00367	743	1363	5	9451155
PHENYTOIN	absorption	0.32955	1.40926e-65	0.03759	63595	4257	160	9451155
PHENYTOIN	sex	0.08994	1.77364e-10	0.01762	73023	4257	75	9451155
PHENYTOIN	enterohepatic circulation	0.02151	3.84481e-06	0.00141	883	4257	6	9451155
PENICILLAMINE	disease activity	0.32834	5.29331e-86	0.01896	3493	3429	65	9451155
PENICILLAMINE	inflammation	0.21274	3.91212e-44	0.02304	26813	3429	79	9451155
PENICILLAMINE	pathogenesis	0.10539	2.59100e-14	0.01866	57792	3429	64	9451155
PENICILLAMINE	diet	0.08482	3.02491e-10	0.01633	58989	3429	56	9451155
PENICILLAMINE	healing	0.05909	1.23913e-09	0.00933	24294	3429	32	9451155
PENICILLAMINE	inflammatory activity	0.05605	1.04393e-14	0.00379	1368	3429	13	9451155
PENICILLAMINE	chronic inflammation	0.03730	1.32430e-09	0.00292	1716	3429	10	9451155
NORGESTREL	bleeding	0.31854	1.43969e-31	0.06420	30415	514	33	9451155
NORGESTREL	sex	0.26274	4.74327e-18	0.06031	73023	514	31	9451155
VINCRISTINE	resection	0.31712	2.35688e-72	0.02797	41979	5720	160	9451155
VINCRISTINE	excision	0.13270	7.78333e-30	0.01259	21648	5720	72	9451155
VINCRISTINE	weight loss	0.08913	6.75618e-22	0.00699	8807	5720	40	9451155
VINCRISTINE	sex	0.06923	2.06392e-07	0.01434	73023	5720	82	9451155
VINCRISTINE	bleeding	0.05566	2.29809e-09	0.00857	30415	5720	49	9451155
TOLAZAMIDE	diet	0.31568	3.22240e-08	0.08333	58989	108	9	9451155
TAMOXIFEN	sex	0.30806	1.95127e-52	0.04307	73023	2949	127	9451155
POVIDONE-IODINE	healing	0.30737	1.12516e-36	0.05666	24294	653	37	9451155
POVIDONE-IODINE	absorption	0.15013	2.74586e-10	0.03522	63595	653	23	9451155
POVIDONE-IODINE	anastomosis	0.07335	1.15402e-07	0.01531	14623	653	10	9451155
SODIUM ASCORBATE	diet	0.30652	1.22911e-13	0.07623	58989	223	17	9451155
DANAZOL	bleeding	0.30163	4.64610e-43	0.04948	30415	1051	52	9451155
DANAZOL	sex	0.20553	1.33696e-19	0.04282	73023	1051	45	9451155
IBUPROFEN	inflammation	0.29916	1.68966e-57	0.03604	26813	2164	78	9451155
IBUPROFEN	inflammatory activity	0.24269	6.67992e-61	0.01664	1368	2164	36	9451155
IBUPROFEN	absorption	0.15909	1.50220e-20	0.02865	63595	2164	62	9451155
IBUPROFEN	bleeding	0.12823	2.36779e-20	0.01987	30415	2164	43	9451155
IBUPROFEN	healing	0.09736	1.72298e-15	0.01525	24294	2164	33	9451155
IBUPROFEN	disease activity	0.06098	2.24501e-13	0.00647	3493	2164	14	9451155
IBUPROFEN	enterohepatic circulation	0.02521	2.34491e-06	0.00231	883	2164	5	9451155
EPINEPHRINE	bleeding	0.29730	1.77026e-79	0.01579	30415	14063	222	9451155
EPINEPHRINE	diet	0.12626	8.47407e-26	0.01436	58989	14063	202	9451155
EPINEPHRINE	absorption	0.05452	5.25888e-07	0.01038	63595	14063	146	9451155
EPINEPHRINE	pathogenesis	0.04751	5.47361e-06	0.00924	57792	14063	130	9451155
PRALIDOXIME	absorption	0.29320	1.14418e-09	0.07595	63595	158	12	9451155
TECHNETIUM TC-99M SULFUR COLLOID	splenic function	0.28996	1.76835e-07	0.07692	221	26	2	9451155
SODIUM BENZOATE	diet	0.28869	1.15129e-18	0.06701	58989	388	26	9451155
HYDROGEN PEROXIDE	inflammation	0.28565	1.13693e-70	0.02035	26813	6929	141	9451155
HYDROGEN PEROXIDE	absorption	0.22150	3.84828e-45	0.02468	63595	6929	171	9451155
HYDROGEN PEROXIDE	pathogenesis	0.09590	1.93115e-15	0.01487	57792	6929	103	9451155
HYDROGEN PEROXIDE	inflammatory process	0.04398	2.89612e-12	0.00245	2257	6929	17	9451155
CEFUROXIME AXETIL	absorption	0.28557	1.40473e-07	0.07563	63595	119	9	9451155
PHENYLPROPANOLAMINE	diet	0.28549	2.21547e-17	0.06723	58989	357	24	9451155
PHENYLPROPANOLAMINE	weight loss	0.08885	6.32854e-08	0.01961	8807	357	7	9451155
PHENYLPROPANOLAMINE	continence	0.07112	2.19456e-08	0.01401	2067	357	5	9451155
CARBON DIOXIDE	absorption	0.28447	9.00647e-67	0.02352	63595	11608	273	9451155
CARBON DIOXIDE	healing	0.17239	6.74648e-44	0.01146	24294	11608	133	9451155
CARBON DIOXIDE	excision	0.13452	7.71239e-34	0.00948	21648	11608	110	9451155
CARBON DIOXIDE	bleeding	0.04482	3.63958e-08	0.00646	30415	11608	75	9451155
MICROCRYSTALLINE	absorption	0.28401	1.60874e-22	0.06239	63595	561	35	9451155
MICROCRYSTALLINE	bleeding	0.11013	7.37390e-09	0.02496	30415	561	14	9451155
MICROCRYSTALLINE	inflammation	0.09415	1.16662e-07	0.02139	26813	561	12	9451155
MICROCRYSTALLINE	healing	0.07768	2.73992e-06	0.01783	24294	561	10	9451155
APROTININ	bleeding	0.28179	8.12017e-44	0.04318	30415	1320	57	9451155
APROTININ	absorption	0.10561	4.89861e-09	0.02348	63595	1320	31	9451155
APROTININ	healing	0.08493	9.57186e-11	0.01591	24294	1320	21	9451155
APROTININ	anastomosis	0.06955	5.97945e-10	0.01212	14623	1320	16	9451155
APROTININ	leucocyte migration	0.02728	3.04901e-06	0.00303	677	1320	4	9451155
NABUMETONE	absorption	0.28016	7.57786e-07	0.07477	63595	107	8	9451155
NABUMETONE	inflammatory activity	0.19547	6.62329e-12	0.04673	1368	107	5	9451155
NABUMETONE	enterohepatic circulation	0.15721	3.87545e-10	0.03738	883	107	4	9451155
STREPTOZOCIN	pathogenesis	0.27974	6.66557e-24	0.06000	57792	600	36	9451155
STREPTOZOCIN	diet	0.25177	1.25467e-20	0.05500	58989	600	33	9451155
STREPTOZOCIN	weight loss	0.08540	4.61067e-10	0.01667	8807	600	10	9451155
ESTRADIOL VALERATE	sex	0.27959	3.38895e-12	0.07004	73023	257	18	9451155
ESTRADIOL VALERATE	bleeding	0.17465	1.20790e-09	0.04280	30415	257	11	9451155
ACETAMINOPHEN	absorption	0.27946	6.80140e-43	0.04333	63595	2100	91	9451155
ACETAMINOPHEN	diet	0.11841	7.22220e-14	0.02286	58989	2100	48	9451155
ACETAMINOPHEN	bleeding	0.05941	1.95423e-07	0.01143	30415	2100	24	9451155
ACETAMINOPHEN	inflammatory activity	0.03428	3.56435e-08	0.00333	1368	2100	7	9451155
ACETAZOLAMIDE	absorption	0.27917	4.05111e-43	0.04305	63595	2137	92	9451155
EPOPROSTENOL	bleeding	0.27809	4.33940e-10	0.07143	30415	126	9	9451155
BETAINE	diet	0.27633	1.97789e-25	0.05772	58989	693	40	9451155
NEDOCROMIL	inflammation	0.27551	5.28482e-17	0.06478	26813	247	16	9451155
ANHYDROUS	absorption	0.27104	4.86359e-28	0.05396	63595	908	49	9451155
SUMATRIPTAN	inflammation	0.27080	2.46664e-12	0.06748	26813	163	11	9451155
SUMATRIPTAN	pathogenesis	0.18482	8.75482e-06	0.04908	57792	163	8	9451155
HYDROXYCHLOROQUINE	disease activity	0.26681	7.05721e-31	0.05030	3493	338	17	9451155
HYDROXYCHLOROQUINE	inflammation	0.13673	5.72239e-09	0.03254	26813	338	11	9451155
EVANS BLUE	inflammation	0.26487	2.01125e-42	0.03959	26813	1364	54	9451155
EVANS BLUE	inflammatory activity	0.04430	1.89644e-09	0.00513	1368	1364	7	9451155
CHROMIC	diet	0.26127	4.25425e-27	0.05204	58989	884	46	9451155
CHROMIC	absorption	0.23679	4.53071e-23	0.04864	63595	884	43	9451155
CHROMIC	healing	0.20952	4.28080e-27	0.03733	24294	884	33	9451155
CHROMIC	anastomosis	0.06954	2.39037e-08	0.01357	14623	884	12	9451155
MAZINDOL	diet	0.26095	6.54685e-16	0.06166	58989	373	23	9451155
MAZINDOL	weight loss	0.24177	4.05719e-25	0.04826	8807	373	18	9451155
SOMATROPIN	catch up growth	0.25931	1.41032e-09	0.06667	439	45	3	9451155
SOMATROPIN	linear growth	0.16909	5.55154e-06	0.04444	709	45	2	9451155
